Gene	RNA blood cell specificity	RNA cancer specificity
TSPAN6	Cell type enhanced	Low cancer specificity
TNMD	Not detected	Low cancer specificity
DPM1	Low cell type specificity	Low cancer specificity
SCYL3	Low cell type specificity	Low cancer specificity
C1orf112	Low cell type specificity	Low cancer specificity
FGR	Low cell type specificity	Low cancer specificity
CFH	Cell type enhanced	Cancer enriched
FUCA2	Low cell type specificity	Low cancer specificity
GCLC	Cell type enhanced	Low cancer specificity
NFYA	Low cell type specificity	Low cancer specificity
STPG1	Low cell type specificity	Low cancer specificity
NIPAL3	Low cell type specificity	Low cancer specificity
LAS1L	Low cell type specificity	Low cancer specificity
ENPP4	Low cell type specificity	Low cancer specificity
SEMA3F	Not detected	Low cancer specificity
CFTR	Not detected	Cancer enhanced
ANKIB1	Low cell type specificity	Low cancer specificity
CYP51A1	Low cell type specificity	Low cancer specificity
KRIT1	Low cell type specificity	Low cancer specificity
RAD52	Low cell type specificity	Low cancer specificity
BAD	Low cell type specificity	Low cancer specificity
LAP3	Low cell type specificity	Low cancer specificity
CD99	Low cell type specificity	Low cancer specificity
HS3ST1	Group enriched	Low cancer specificity
AOC1	Cell type enriched	Group enriched
WNT16	Group enriched	Low cancer specificity
HECW1	Cell type enhanced	Not detected
MAD1L1	Low cell type specificity	Low cancer specificity
LASP1	Low cell type specificity	Low cancer specificity
SNX11	Low cell type specificity	Low cancer specificity
TMEM176A	Cell type enhanced	Cancer enhanced
M6PR	Low cell type specificity	Low cancer specificity
KLHL13	Group enriched	Low cancer specificity
CYP26B1	Not detected	Low cancer specificity
ICA1	Cell type enriched	Low cancer specificity
DBNDD1	Cell type enriched	Low cancer specificity
ALS2	Group enriched	Low cancer specificity
CASP10	Low cell type specificity	Low cancer specificity
CFLAR	Cell type enriched	Low cancer specificity
TFPI	Cell type enhanced	Low cancer specificity
NDUFAF7	Low cell type specificity	Low cancer specificity
RBM5	Low cell type specificity	Low cancer specificity
MTMR7	Low cell type specificity	Low cancer specificity
SLC7A2	Not detected	Low cancer specificity
ARF5	Low cell type specificity	Low cancer specificity
SARM1	Low cell type specificity	Low cancer specificity
POLDIP2	Low cell type specificity	Low cancer specificity
PLXND1	Cell type enhanced	Low cancer specificity
AK2	Low cell type specificity	Low cancer specificity
CD38	Cell type enhanced	Low cancer specificity
FKBP4	Low cell type specificity	Low cancer specificity
KDM1A	Low cell type specificity	Low cancer specificity
RBM6	Low cell type specificity	Low cancer specificity
CAMKK1	Low cell type specificity	Low cancer specificity
RECQL	Low cell type specificity	Low cancer specificity
VPS50	Low cell type specificity	Low cancer specificity
HSPB6	Not detected	Cancer enhanced
ARHGAP33	Not detected	Low cancer specificity
NDUFAB1	Low cell type specificity	Low cancer specificity
PDK4	Group enriched	Cancer enhanced
SLC22A16	Cell type enhanced	Cancer enriched
ZMYND10	Cell type enhanced	Cancer enhanced
ABCB5	Cell type enhanced	Cancer enriched
ARX	Not detected	Low cancer specificity
SLC25A13	Low cell type specificity	Low cancer specificity
ST7	Low cell type specificity	Low cancer specificity
CDC27	Low cell type specificity	Low cancer specificity
SLC4A1	Low cell type specificity	Cancer enriched
CALCR	Cell type enhanced	Cancer enriched
HCCS	Low cell type specificity	Low cancer specificity
DVL2	Low cell type specificity	Low cancer specificity
PRSS22	Not detected	Low cancer specificity
UPF1	Low cell type specificity	Low cancer specificity
SKAP2	Low cell type specificity	Low cancer specificity
SLC25A5	Low cell type specificity	Low cancer specificity
MCUB	Low cell type specificity	Low cancer specificity
HOXA11	Not detected	Low cancer specificity
POLR2J	Low cell type specificity	Low cancer specificity
DHX33	Low cell type specificity	Low cancer specificity
MEOX1	Cell type enhanced	Low cancer specificity
THSD7A	Cell type enriched	Low cancer specificity
LIG3	Low cell type specificity	Low cancer specificity
RPAP3	Low cell type specificity	Low cancer specificity
ACSM3	Cell type enhanced	Low cancer specificity
REXO5	Cell type enriched	Low cancer specificity
CIAPIN1	Low cell type specificity	Low cancer specificity
SPPL2B	Low cell type specificity	Low cancer specificity
FAM214B	Cell type enhanced	Low cancer specificity
COPZ2	Low cell type specificity	Low cancer specificity
PRKAR2B	Cell type enhanced	Low cancer specificity
MSL3	Low cell type specificity	Low cancer specificity
CREBBP	Low cell type specificity	Low cancer specificity
TSPOAP1	Cell type enhanced	Low cancer specificity
MPO	Group enriched	Cancer enhanced
PON1	Cell type enhanced	Cancer enriched
GCFC2	Low cell type specificity	Low cancer specificity
WDR54	Low cell type specificity	Low cancer specificity
CROT	Low cell type specificity	Low cancer specificity
ABCB4	Group enriched	Cancer enriched
KMT2E	Low cell type specificity	Low cancer specificity
RHBDD2	Low cell type specificity	Low cancer specificity
SOX8	Cell type enhanced	Cancer enriched
IBTK	Low cell type specificity	Low cancer specificity
ZNF195	Low cell type specificity	Low cancer specificity
MYCBP2	Low cell type specificity	Low cancer specificity
FBXL3	Low cell type specificity	Low cancer specificity
ITGAL	Low cell type specificity	Low cancer specificity
PDK2	Low cell type specificity	Low cancer specificity
ITGA3	Cell type enhanced	Low cancer specificity
ZFX	Low cell type specificity	Low cancer specificity
LAMP2	Cell type enhanced	Low cancer specificity
ITGA2B	Cell type enriched	Low cancer specificity
ASB4	Low cell type specificity	Cancer enhanced
GDE1	Low cell type specificity	Low cancer specificity
REX1BD	Low cell type specificity	Low cancer specificity
CRLF1	Not detected	Cancer enhanced
OSBPL7	Low cell type specificity	Low cancer specificity
TMEM98	Cell type enriched	Low cancer specificity
YBX2	Not detected	Low cancer specificity
KRT33A	Not detected	Cancer enhanced
MAP3K14	Low cell type specificity	Low cancer specificity
ABCC8	Not detected	Cancer enriched
CACNG3	Not detected	Cancer enriched
TMEM132A	Cell type enhanced	Low cancer specificity
AP2B1	Low cell type specificity	Low cancer specificity
TAC1	Not detected	Low cancer specificity
ZNF263	Low cell type specificity	Low cancer specificity
CX3CL1	Low cell type specificity	Low cancer specificity
SPATA20	Low cell type specificity	Low cancer specificity
CACNA1G	Low cell type specificity	Low cancer specificity
TNFRSF12A	Group enriched	Low cancer specificity
DLX6	Low cell type specificity	Cancer enriched
MAP3K9	Low cell type specificity	Low cancer specificity
RALA	Low cell type specificity	Low cancer specificity
BAIAP2L1	Cell type enhanced	Low cancer specificity
KDM7A	Low cell type specificity	Low cancer specificity
ETV1	Cell type enriched	Cancer enhanced
AGK	Cell type enhanced	Low cancer specificity
ALDH3B1	Cell type enhanced	Low cancer specificity
TTC22	Low cell type specificity	Low cancer specificity
PHTF2	Cell type enhanced	Low cancer specificity
CCL26	Cell type enriched	Cancer enhanced
FARP2	Low cell type specificity	Low cancer specificity
USH1C	Not detected	Group enriched
GGCT	Low cell type specificity	Low cancer specificity
DBF4	Low cell type specificity	Low cancer specificity
TBXA2R	Cell type enhanced	Low cancer specificity
IFRD1	Group enriched	Low cancer specificity
LGALS14	Cell type enhanced	Cancer enriched
COX10	Low cell type specificity	Low cancer specificity
GTF2IRD1	Cell type enhanced	Low cancer specificity
PAF1	Low cell type specificity	Low cancer specificity
VPS41	Low cell type specificity	Low cancer specificity
ARHGAP44	Not detected	Low cancer specificity
ELAC2	Low cell type specificity	Low cancer specificity
SCIN	Low cell type specificity	Cancer enhanced
ARSD	Low cell type specificity	Low cancer specificity
PNPLA4	Low cell type specificity	Low cancer specificity
MYH13	Not detected	Not detected
ADIPOR2	Low cell type specificity	Low cancer specificity
CDKL3	Low cell type specificity	Low cancer specificity
UPP2	Cell type enhanced	Cancer enriched
PRSS21	Group enriched	Cancer enhanced
MARK4	Low cell type specificity	Low cancer specificity
PROM1	Not detected	Low cancer specificity
CCDC124	Low cell type specificity	Low cancer specificity
CEACAM21	Low cell type specificity	Low cancer specificity
PAFAH1B1	Low cell type specificity	Low cancer specificity
NOS2	Not detected	Cancer enhanced
DNAH9	Not detected	Cancer enhanced
KIAA0100	Low cell type specificity	Low cancer specificity
SLC13A2	Not detected	Low cancer specificity
GAS7	Cell type enhanced	Cancer enhanced
TRAPPC6A	Low cell type specificity	Low cancer specificity
MATK	Cell type enhanced	Low cancer specificity
CEACAM7	Not detected	Cancer enhanced
CD79B	Group enriched	Low cancer specificity
SCN4A	Cell type enhanced	Cancer enhanced
ST7L	Low cell type specificity	Low cancer specificity
TKTL1	Group enriched	Cancer enriched
PAX6	Cell type enhanced	Cancer enhanced
RPUSD1	Low cell type specificity	Low cancer specificity
RHBDF1	Cell type enhanced	Low cancer specificity
LUC7L	Low cell type specificity	Low cancer specificity
CACNA2D2	Low cell type specificity	Cancer enhanced
BAIAP3	Cell type enhanced	Low cancer specificity
TSR3	Low cell type specificity	Low cancer specificity
PIGQ	Low cell type specificity	Low cancer specificity
CRAMP1	Low cell type specificity	Low cancer specificity
TEAD3	Cell type enhanced	Low cancer specificity
SELE	Not detected	Low cancer specificity
DNAJC11	Low cell type specificity	Low cancer specificity
FMO3	Not detected	Cancer enriched
MYLIP	Low cell type specificity	Low cancer specificity
NOX1	Low cell type specificity	Cancer enriched
E2F2	Cell type enhanced	Low cancer specificity
PSMB1	Low cell type specificity	Low cancer specificity
SYN1	Not detected	Cancer enhanced
JARID2	Low cell type specificity	Low cancer specificity
CDKL5	Group enriched	Low cancer specificity
CAMK1G	Not detected	Low cancer specificity
CDK11A	Cell type enhanced	Low cancer specificity
NADK	Cell type enhanced	Low cancer specificity
TFAP2B	Not detected	Cancer enriched
TFAP2D	Not detected	Cancer enriched
DLEC1	Low cell type specificity	Low cancer specificity
CYTH3	Cell type enhanced	Cancer enhanced
ADAM22	Low cell type specificity	Low cancer specificity
SYPL1	Low cell type specificity	Low cancer specificity
CYB561	Low cell type specificity	Low cancer specificity
SPAG9	Group enriched	Low cancer specificity
CELSR3	Cell type enhanced	Low cancer specificity
AASS	Cell type enhanced	Low cancer specificity
PLEKHG6	Group enriched	Low cancer specificity
SS18L2	Low cell type specificity	Low cancer specificity
MPND	Low cell type specificity	Low cancer specificity
MGST1	Group enriched	Low cancer specificity
CRY1	Low cell type specificity	Low cancer specificity
PGLYRP1	Group enriched	Not detected
NFIX	Cell type enhanced	Low cancer specificity
ST3GAL1	Low cell type specificity	Low cancer specificity
MMP25	Group enriched	Cancer enhanced
IL32	Cell type enhanced	Low cancer specificity
PKD1	Not detected	Low cancer specificity
MAPK8IP2	Not detected	Low cancer specificity
MED24	Low cell type specificity	Low cancer specificity
RHOBTB2	Low cell type specificity	Low cancer specificity
HEATR5B	Low cell type specificity	Low cancer specificity
SEC62	Low cell type specificity	Low cancer specificity
RPS20	Low cell type specificity	Low cancer specificity
CSDE1	Low cell type specificity	Low cancer specificity
UBE3C	Low cell type specificity	Low cancer specificity
REV3L	Low cell type specificity	Low cancer specificity
TENM1	Cell type enhanced	Group enriched
PAX7	Not detected	Group enriched
MASP2	Low cell type specificity	Cancer enriched
IYD	Cell type enhanced	Cancer enriched
FAM76A	Low cell type specificity	Low cancer specificity
TRAF3IP3	Low cell type specificity	Low cancer specificity
POMT2	Low cell type specificity	Low cancer specificity
VTA1	Low cell type specificity	Low cancer specificity
MLXIPL	Not detected	Cancer enriched
